configuration_id,tenancy_model,compute_qubits_per_module,communication_qubits_per_module,communication_qubits_per_tenant,spatial_isolation_degree,local_routing_paths_shared,reset_pipeline_shared,endpoint_lock_scope,trial_count,acceptance_probability,unconditional_node_only_leakage_ns,unconditional_hub4_leakage_ns
hybrid_shared_pipeline__cq32__mq1__mqt2__iso0p0__route_shared__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,1,2,0.0,True,False,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq1__mqt2__iso0p0__route_shared__reset_dedicated__module_wide,hybrid_shared_pipeline,32,1,2,0.0,True,False,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq1__mqt2__iso0p0__route_shared__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,1,2,0.0,True,True,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq1__mqt2__iso0p0__route_shared__reset_shared__module_wide,hybrid_shared_pipeline,32,1,2,0.0,True,True,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq1__mqt2__iso0p5__route_dedicated__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,1,2,0.5,False,False,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq1__mqt2__iso0p5__route_dedicated__reset_dedicated__module_wide,hybrid_shared_pipeline,32,1,2,0.5,False,False,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq1__mqt2__iso0p5__route_dedicated__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,1,2,0.5,False,True,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq1__mqt2__iso0p5__route_dedicated__reset_shared__module_wide,hybrid_shared_pipeline,32,1,2,0.5,False,True,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq1__mqt2__iso0p5__route_shared__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,1,2,0.5,True,False,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq1__mqt2__iso0p5__route_shared__reset_dedicated__module_wide,hybrid_shared_pipeline,32,1,2,0.5,True,False,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq1__mqt2__iso0p5__route_shared__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,1,2,0.5,True,True,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq1__mqt2__iso0p5__route_shared__reset_shared__module_wide,hybrid_shared_pipeline,32,1,2,0.5,True,True,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq1__mqt2__iso1p0__route_dedicated__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,1,2,1.0,False,False,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq1__mqt2__iso1p0__route_dedicated__reset_dedicated__module_wide,hybrid_shared_pipeline,32,1,2,1.0,False,False,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq1__mqt2__iso1p0__route_dedicated__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,1,2,1.0,False,True,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq1__mqt2__iso1p0__route_dedicated__reset_shared__module_wide,hybrid_shared_pipeline,32,1,2,1.0,False,True,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq1__mqt2__iso1p0__route_shared__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,1,2,1.0,True,False,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq1__mqt2__iso1p0__route_shared__reset_dedicated__module_wide,hybrid_shared_pipeline,32,1,2,1.0,True,False,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq1__mqt2__iso1p0__route_shared__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,1,2,1.0,True,True,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq1__mqt2__iso1p0__route_shared__reset_shared__module_wide,hybrid_shared_pipeline,32,1,2,1.0,True,True,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt1__iso0p0__route_dedicated__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,2,1,0.0,False,False,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso0p0__route_dedicated__reset_dedicated__module_wide,hybrid_shared_pipeline,32,2,1,0.0,False,False,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso0p0__route_dedicated__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,2,1,0.0,False,True,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso0p0__route_dedicated__reset_shared__module_wide,hybrid_shared_pipeline,32,2,1,0.0,False,True,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso0p0__route_shared__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,2,1,0.0,True,False,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso0p0__route_shared__reset_dedicated__module_wide,hybrid_shared_pipeline,32,2,1,0.0,True,False,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso0p0__route_shared__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,2,1,0.0,True,True,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso0p0__route_shared__reset_shared__module_wide,hybrid_shared_pipeline,32,2,1,0.0,True,True,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso0p5__route_dedicated__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,2,1,0.5,False,False,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso0p5__route_dedicated__reset_dedicated__module_wide,hybrid_shared_pipeline,32,2,1,0.5,False,False,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso0p5__route_dedicated__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,2,1,0.5,False,True,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso0p5__route_dedicated__reset_shared__module_wide,hybrid_shared_pipeline,32,2,1,0.5,False,True,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso0p5__route_shared__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,2,1,0.5,True,False,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso0p5__route_shared__reset_dedicated__module_wide,hybrid_shared_pipeline,32,2,1,0.5,True,False,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso0p5__route_shared__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,2,1,0.5,True,True,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso0p5__route_shared__reset_shared__module_wide,hybrid_shared_pipeline,32,2,1,0.5,True,True,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso1p0__route_dedicated__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,2,1,1.0,False,False,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso1p0__route_dedicated__reset_dedicated__module_wide,hybrid_shared_pipeline,32,2,1,1.0,False,False,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso1p0__route_dedicated__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,2,1,1.0,False,True,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso1p0__route_dedicated__reset_shared__module_wide,hybrid_shared_pipeline,32,2,1,1.0,False,True,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso1p0__route_shared__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,2,1,1.0,True,False,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso1p0__route_shared__reset_dedicated__module_wide,hybrid_shared_pipeline,32,2,1,1.0,True,False,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso1p0__route_shared__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,2,1,1.0,True,True,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt1__iso1p0__route_shared__reset_shared__module_wide,hybrid_shared_pipeline,32,2,1,1.0,True,True,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq2__mqt2__iso0p0__route_dedicated__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,2,2,0.0,False,False,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso0p0__route_dedicated__reset_dedicated__module_wide,hybrid_shared_pipeline,32,2,2,0.0,False,False,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso0p0__route_dedicated__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,2,2,0.0,False,True,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso0p0__route_dedicated__reset_shared__module_wide,hybrid_shared_pipeline,32,2,2,0.0,False,True,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso0p0__route_shared__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,2,2,0.0,True,False,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso0p0__route_shared__reset_dedicated__module_wide,hybrid_shared_pipeline,32,2,2,0.0,True,False,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso0p0__route_shared__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,2,2,0.0,True,True,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso0p0__route_shared__reset_shared__module_wide,hybrid_shared_pipeline,32,2,2,0.0,True,True,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso0p5__route_dedicated__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,2,2,0.5,False,False,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso0p5__route_dedicated__reset_dedicated__module_wide,hybrid_shared_pipeline,32,2,2,0.5,False,False,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso0p5__route_dedicated__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,2,2,0.5,False,True,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso0p5__route_dedicated__reset_shared__module_wide,hybrid_shared_pipeline,32,2,2,0.5,False,True,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso0p5__route_shared__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,2,2,0.5,True,False,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso0p5__route_shared__reset_dedicated__module_wide,hybrid_shared_pipeline,32,2,2,0.5,True,False,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso0p5__route_shared__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,2,2,0.5,True,True,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso0p5__route_shared__reset_shared__module_wide,hybrid_shared_pipeline,32,2,2,0.5,True,True,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso1p0__route_dedicated__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,2,2,1.0,False,False,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso1p0__route_dedicated__reset_dedicated__module_wide,hybrid_shared_pipeline,32,2,2,1.0,False,False,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso1p0__route_dedicated__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,2,2,1.0,False,True,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso1p0__route_dedicated__reset_shared__module_wide,hybrid_shared_pipeline,32,2,2,1.0,False,True,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso1p0__route_shared__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,2,2,1.0,True,False,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso1p0__route_shared__reset_dedicated__module_wide,hybrid_shared_pipeline,32,2,2,1.0,True,False,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso1p0__route_shared__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,2,2,1.0,True,True,communication_qubit_specific,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq2__mqt2__iso1p0__route_shared__reset_shared__module_wide,hybrid_shared_pipeline,32,2,2,1.0,True,True,module_wide,15,0.0,0.0,0.0
hybrid_shared_pipeline__cq32__mq4__mqt1__iso0p0__route_dedicated__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,4,1,0.0,False,False,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso0p0__route_dedicated__reset_dedicated__module_wide,hybrid_shared_pipeline,32,4,1,0.0,False,False,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso0p0__route_dedicated__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,4,1,0.0,False,True,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso0p0__route_dedicated__reset_shared__module_wide,hybrid_shared_pipeline,32,4,1,0.0,False,True,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso0p0__route_shared__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,4,1,0.0,True,False,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso0p0__route_shared__reset_dedicated__module_wide,hybrid_shared_pipeline,32,4,1,0.0,True,False,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso0p0__route_shared__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,4,1,0.0,True,True,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso0p0__route_shared__reset_shared__module_wide,hybrid_shared_pipeline,32,4,1,0.0,True,True,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso0p5__route_dedicated__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,4,1,0.5,False,False,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso0p5__route_dedicated__reset_dedicated__module_wide,hybrid_shared_pipeline,32,4,1,0.5,False,False,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso0p5__route_dedicated__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,4,1,0.5,False,True,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso0p5__route_dedicated__reset_shared__module_wide,hybrid_shared_pipeline,32,4,1,0.5,False,True,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso0p5__route_shared__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,4,1,0.5,True,False,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso0p5__route_shared__reset_dedicated__module_wide,hybrid_shared_pipeline,32,4,1,0.5,True,False,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso0p5__route_shared__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,4,1,0.5,True,True,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso0p5__route_shared__reset_shared__module_wide,hybrid_shared_pipeline,32,4,1,0.5,True,True,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso1p0__route_dedicated__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,4,1,1.0,False,False,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso1p0__route_dedicated__reset_dedicated__module_wide,hybrid_shared_pipeline,32,4,1,1.0,False,False,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso1p0__route_dedicated__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,4,1,1.0,False,True,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso1p0__route_dedicated__reset_shared__module_wide,hybrid_shared_pipeline,32,4,1,1.0,False,True,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso1p0__route_shared__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,4,1,1.0,True,False,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso1p0__route_shared__reset_dedicated__module_wide,hybrid_shared_pipeline,32,4,1,1.0,True,False,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso1p0__route_shared__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,4,1,1.0,True,True,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt1__iso1p0__route_shared__reset_shared__module_wide,hybrid_shared_pipeline,32,4,1,1.0,True,True,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt2__iso0p0__route_dedicated__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,4,2,0.0,False,False,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt2__iso0p0__route_dedicated__reset_dedicated__module_wide,hybrid_shared_pipeline,32,4,2,0.0,False,False,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt2__iso0p0__route_dedicated__reset_shared__communication_qubit_specific,hybrid_shared_pipeline,32,4,2,0.0,False,True,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt2__iso0p0__route_dedicated__reset_shared__module_wide,hybrid_shared_pipeline,32,4,2,0.0,False,True,module_wide,15,1.0,63.145833333333336,63.145833333333336
hybrid_shared_pipeline__cq32__mq4__mqt2__iso0p0__route_shared__reset_dedicated__communication_qubit_specific,hybrid_shared_pipeline,32,4,2,0.0,True,False,communication_qubit_specific,15,1.0,63.145833333333336,63.145833333333336
